Name;Age;Food Supply (Days);Water per Day (Liters);First Aid Kits;Antibiotics;Painkillers;Weapons Available;Defensive Structures;Training Level;Radios Available;Access to Reliable Information;Support Groups Available;Entertainment Available
James  ;23;9;4.7;9;20;9;3;9;0;8;Yes;No ;Books
John   ;23;13;4.2;3;12;2;80;2;0;2;Yes;No ;Games
Michael;23;30;4.7;0;4;33;55;10;3;19;No ;No ;Games
William;23;11;1.6;4;6;9;77;2;0;10;Yes;No ;Books
Michael;23;9;3;6;5;12;70;1;1;3;Yes;No ;Games
Sophia ;23;0;2.5;4;6;7;61;9;4;19;Yes;Yes;Books
Emma   ;23;5;2.2;7;15;12;29;0;5;8;Yes;Yes;Games
John   ;23;16;2.9;4;19;30;83;8;3;20;Yes;Yes;Games
Sophia ;23;10;2.8;4;6;50;54;3;1;6;No ;Yes;Books
John   ;23;23;2.8;5;20;32;56;4;2;9;Yes;No ;Games
Emma   ;23;22;1.7;6;13;27;34;7;5;14;No ;Yes;Games
James  ;23;30;4.3;9;5;11;98;10;2;4;Yes;Yes;Books
William;23;20;1.2;3;9;28;70;6;2;4;No ;No ;Books
John   ;23;4;4.8;3;11;23;45;4;5;0;Yes;Yes;Books
Jane   ;23;14;3;6;11;32;64;6;5;19;Yes;No ;Games
William;23;26;1.8;0;9;41;19;6;5;20;Yes;Yes;Books
John   ;23;24;2.5;2;0;28;23;5;3;0;No ;Yes;Games
William;23;20;2;4;9;12;36;2;0;19;No ;No ;Books
William;23;13;4.2;5;3;0;36;1;3;20;Yes;Yes;Books
Emma   ;23;14;1.3;0;1;39;58;4;0;10;Yes;No ;Games
Sophia ;23;23;2.9;7;0;4;89;9;0;20;Yes;Yes;Games
Jane   ;23;2;1.7;3;19;35;39;10;0;2;Yes;Yes;Books
Sophia ;23;20;4.3;3;5;1;31;10;1;20;Yes;No ;Books
James  ;23;5;5;8;10;36;57;5;1;17;Yes;No ;Books
Michael;23;15;1.6;3;5;34;23;0;1;3;Yes;Yes;Books
Olivia ;24;16;1.2;8;1;6;59;8;3;3;Yes;No ;Books
Olivia ;24;23;1.1;8;5;0;59;1;5;11;No ;No ;Games
James  ;24;5;1.3;3;9;43;2;1;5;9;No ;Yes;Games
James  ;24;9;4.2;6;8;22;2;8;1;5;Yes;Yes;Games
Jane   ;24;6;4.8;9;10;46;14;4;3;0;Yes;No ;Books
John   ;24;1;2.4;2;0;8;32;10;0;3;No ;No ;Games
John   ;24;12;2.4;9;20;8;63;7;3;5;Yes;No ;Games
James  ;24;9;3.7;6;18;17;0;3;5;14;Yes;Yes;Games
William;24;3;4.9;5;5;45;20;7;2;0;Yes;No ;Games
James  ;24;5;4.9;5;11;34;6;4;2;7;No ;Yes;Games
Emma   ;24;9;2;2;0;15;84;0;0;0;Yes;Yes;Books
Emma   ;24;20;4.2;8;11;35;93;9;1;17;Yes;Yes;Books
Michael;24;8;4;9;10;27;23;9;5;2;No ;Yes;Books
Sophia ;24;4;4.5;10;10;31;70;4;2;3;No ;Yes;Books
Michael;24;18;1.8;5;16;41;0;8;5;4;No ;Yes;Books
Emma   ;24;14;1.1;4;2;11;50;5;4;2;Yes;Yes;Books
James  ;24;28;5;10;19;17;96;5;4;4;No ;Yes;Books
Emma   ;24;23;3.8;7;10;35;85;6;4;8;No ;Yes;Games
Michael;24;26;4.7;6;11;12;83;9;4;9;Yes;No ;Games
Jane   ;24;10;2.8;2;17;23;83;2;4;5;Yes;Yes;Games
Michael;24;21;3;3;12;13;50;0;0;18;Yes;No ;Games
Olivia ;24;27;4.4;7;13;24;30;2;5;5;Yes;Yes;Games
Sophia ;24;28;4.1;0;3;13;89;0;5;20;No ;Yes;Books
Michael;24;25;2.5;8;3;29;16;2;4;11;Yes;No ;Books
Olivia ;24;10;2.2;9;4;19;39;9;0;16;Yes;Yes;Books
Sophia ;25;3;4.7;9;16;16;50;1;3;11;Yes;Yes;Games
Emma   ;25;5;1.3;4;8;2;34;1;4;15;No ;Yes;Games
William;25;7;2.1;2;9;16;93;4;2;11;Yes;No ;Books
William;25;6;3.9;5;4;12;100;9;5;2;No ;No ;Games
William;25;6;4.9;3;1;24;0;3;3;2;No ;Yes;Games
Sophia ;25;20;1.3;7;11;10;50;2;2;15;Yes;No ;Books
Michael;25;27;1.1;9;20;44;9;2;3;15;No ;No ;Games
Olivia ;25;27;2.1;1;7;40;25;1;4;12;Yes;No ;Games
Jane   ;25;24;1.5;9;15;11;64;4;3;18;No ;Yes;Games
Emma   ;25;10;2.4;0;18;45;54;1;0;9;No ;Yes;Books
John   ;25;13;3.1;7;15;39;1;2;0;0;No ;No ;Books
William;25;29;4.5;10;9;3;77;5;5;6;Yes;No ;Games
Michael;25;17;3.7;3;10;20;24;9;2;10;Yes;No ;Books
William;25;7;1.9;10;1;9;31;4;2;14;No ;No ;Books
Michael;25;23;2.7;1;7;50;89;7;3;1;No ;Yes;Books
John   ;25;0;3.2;4;19;35;82;6;0;16;No ;No ;Books
Jane   ;25;0;4.4;6;9;16;26;2;2;19;Yes;No ;Games
John   ;25;14;1.3;8;15;42;72;9;2;4;No ;Yes;Games
Jane   ;25;15;2;7;17;34;70;2;3;16;No ;Yes;Books
James  ;25;20;3.7;3;4;19;51;0;1;1;Yes;Yes;Games
Jane   ;26;1;4.5;0;7;9;36;0;3;16;Yes;Yes;Books
John   ;26;25;3.9;1;16;6;22;6;2;12;No ;No ;Books
William;26;2;2.4;5;12;5;60;3;2;10;No ;Yes;Books
Emma   ;26;7;4.6;7;9;8;46;4;5;6;Yes;No ;Games
Olivia ;26;1;4.2;6;6;14;28;9;2;14;No ;No ;Books
Michael;26;24;4.6;5;1;7;25;5;3;9;No ;Yes;Books
Olivia ;26;16;3.5;0;15;40;20;9;4;6;No ;Yes;Games
John   ;26;4;2.9;2;1;1;84;7;3;8;No ;No ;Books
Olivia ;26;27;1.6;10;16;3;7;3;0;7;Yes;Yes;Games
William;26;14;3.7;3;17;26;5;1;0;14;No ;Yes;Games
James  ;26;26;2.1;7;3;1;51;6;1;3;No ;No ;Books
Michael;26;4;3.2;4;13;15;92;7;5;8;No ;No ;Games
John   ;26;30;4.6;0;1;36;64;7;1;5;No ;Yes;Games
James  ;26;30;4.5;5;16;4;42;4;0;14;Yes;No ;Books
Emma   ;26;1;2.1;2;16;6;39;2;2;2;No ;Yes;Games
James  ;26;0;2.6;4;15;34;71;9;0;14;Yes;Yes;Books
Sophia ;26;18;3.6;0;5;46;91;5;3;11;No ;No ;Games
Emma   ;26;14;4.5;3;9;10;1;1;2;5;Yes;Yes;Books
Emma   ;26;30;3.8;9;1;23;5;5;2;18;Yes;No ;Games
Sophia ;26;22;2;10;2;5;77;9;1;11;Yes;No ;Games
James  ;26;8;2.4;3;6;48;86;1;1;18;No ;No ;Books
John   ;26;2;1.3;6;10;49;72;7;4;1;Yes;Yes;Games
Olivia ;26;7;4.7;0;7;19;52;9;5;17;No ;No ;Books
Michael;27;3;4.8;4;15;31;89;0;2;14;Yes;Yes;Books
William;27;25;4.2;0;8;9;6;3;3;15;Yes;Yes;Books
Jane   ;27;15;4.6;8;11;10;8;0;3;1;Yes;Yes;Games
William;27;23;3.8;1;17;47;20;6;3;13;Yes;Yes;Games
Jane   ;27;4;4.1;1;1;19;1;5;5;14;No ;No ;Games
Olivia ;27;21;4.4;0;19;22;100;0;4;14;Yes;Yes;Games
William;27;24;1.9;3;3;21;31;2;2;18;No ;No ;Books
Michael;27;5;4.2;8;4;24;25;4;4;8;Yes;Yes;Books
Emma   ;27;2;1.4;10;0;43;54;1;2;19;Yes;No ;Books
John   ;27;9;2;5;13;18;35;10;2;7;No ;Yes;Games
Michael;27;27;1.5;0;1;23;28;3;1;0;Yes;No ;Books
Jane   ;27;29;4.4;8;5;9;62;7;0;6;No ;No ;Books
Sophia ;27;1;3.7;3;14;36;25;6;5;5;Yes;Yes;Books
Sophia ;27;13;1.9;3;15;50;55;0;1;19;No ;No ;Games
William;27;3;3;3;19;36;68;10;3;19;No ;No ;Books
Jane   ;27;3;2.6;9;17;33;65;2;4;13;Yes;No ;Books
Michael;27;8;2.3;7;1;21;6;10;2;10;No ;Yes;Books
Jane   ;27;26;1.8;4;16;42;42;3;5;15;Yes;No ;Games
Emma   ;27;4;3.4;6;2;46;6;0;4;12;Yes;Yes;Games
Sophia ;27;4;4.4;8;19;31;35;0;1;20;No ;Yes;Games
James  ;27;18;1.2;2;2;48;22;0;3;18;Yes;No ;Games
William;27;29;4.5;5;13;42;75;5;5;9;Yes;Yes;Books
James  ;27;22;2.3;0;18;35;6;6;1;13;No ;No ;Books
Olivia ;28;13;4.5;8;8;16;37;5;1;2;No ;Yes;Games
John   ;28;9;3.2;7;9;1;53;7;0;12;Yes;Yes;Books
William;28;18;3.3;5;13;35;93;1;4;18;No ;Yes;Books
James  ;28;25;1.9;10;5;12;9;7;4;14;Yes;No ;Books
James  ;28;6;4;3;6;23;7;3;0;8;Yes;No ;Games
Emma   ;28;27;4.9;9;19;35;1;4;2;2;No ;No ;Books
James  ;28;30;2.5;5;18;3;42;4;5;5;Yes;Yes;Games
Sophia ;28;8;4.1;0;11;21;22;6;3;2;Yes;Yes;Books
Emma   ;28;23;3.3;4;6;11;32;1;2;2;Yes;Yes;Books
Jane   ;28;12;4.2;8;15;12;84;8;2;2;Yes;No ;Books
Olivia ;28;29;3;3;6;39;36;10;5;18;No ;No ;Books
Olivia ;28;24;3.9;2;14;29;95;4;5;3;Yes;Yes;Games
William;28;9;4.1;9;16;36;3;5;2;12;No ;No ;Games
John   ;28;13;4.1;0;9;3;7;4;1;3;No ;Yes;Games
Emma   ;28;23;4;6;18;43;25;5;5;0;Yes;Yes;Games
John   ;28;19;3.2;6;3;34;23;9;1;10;Yes;Yes;Books
James  ;28;4;2.7;6;10;44;71;5;3;4;No ;No ;Books
Olivia ;28;3;3.4;10;14;36;92;9;2;20;Yes;No ;Books
James  ;29;27;3.3;9;6;7;31;4;2;19;No ;No ;Games
Sophia ;29;10;3.1;1;5;42;9;2;2;5;No ;Yes;Games
Michael;29;22;4.6;7;0;45;36;3;5;16;Yes;No ;Books
James  ;29;0;3.9;1;9;22;56;9;5;14;Yes;No ;Books
John   ;29;23;4.5;2;3;45;84;0;3;2;Yes;Yes;Games
Emma   ;29;22;3.3;7;19;42;8;5;3;9;Yes;No ;Books
John   ;29;12;1.5;9;17;46;86;10;3;7;Yes;Yes;Games
Emma   ;29;19;3;4;17;47;89;9;5;2;Yes;Yes;Books
Michael;29;0;4.7;2;2;16;57;6;2;1;No ;No ;Books
Sophia ;29;11;3.1;8;11;35;94;0;4;10;Yes;No ;Books
Jane   ;29;17;1.4;7;9;8;26;3;0;14;No ;No ;Games
Jane   ;29;6;1.2;9;18;9;22;4;3;9;Yes;No ;Games
James  ;29;0;2.6;2;11;37;0;9;1;15;Yes;No ;Books
Olivia ;29;22;2.4;2;7;33;1;8;3;3;Yes;No ;Books
John   ;29;18;3.4;9;0;14;5;10;5;13;No ;Yes;Books
Olivia ;29;20;4;5;8;45;78;3;0;10;Yes;Yes;Books
William;29;20;3.8;5;20;44;65;9;4;8;No ;No ;Games
William;29;0;4.6;10;10;46;49;0;0;8;No ;No ;Books
Emma   ;29;20;4.4;0;0;11;41;3;1;7;Yes;No ;Books
Jane   ;29;19;3.9;6;2;45;74;1;0;0;No ;Yes;Books
Jane   ;30;25;3.5;0;1;10;67;9;4;13;Yes;No ;Books
William;30;15;2;0;3;3;57;6;2;15;Yes;No ;Books
John   ;30;8;4.3;7;4;44;6;3;0;9;Yes;Yes;Games
William;30;28;4.6;3;1;9;18;6;5;14;No ;No ;Games
Michael;30;24;4.9;1;8;34;18;1;4;11;No ;No ;Games
William;30;27;2.1;4;8;21;99;3;5;6;Yes;No ;Games
Sophia ;30;0;3.4;6;15;30;18;2;1;10;No ;No ;Books
William;30;4;2.2;0;19;37;15;3;5;5;No ;Yes;Books
Olivia ;30;26;3.7;0;10;17;17;3;0;9;No ;No ;Books
Emma   ;30;14;3.3;7;12;13;75;8;5;1;No ;No ;Games
James  ;30;7;2.2;3;15;27;17;9;1;9;No ;Yes;Books
Jane   ;30;19;1.4;1;8;19;42;7;2;15;No ;Yes;Books
James  ;30;30;4.2;6;2;37;29;9;5;10;Yes;No ;Games
James  ;30;11;1.3;10;9;24;70;10;3;6;No ;No ;Games
James  ;30;23;3.9;9;6;25;34;1;4;17;No ;Yes;Books
Olivia ;30;16;4.2;6;17;9;43;6;5;19;No ;No ;Books
Sophia ;30;4;4.2;10;19;36;65;0;2;5;No ;No ;Games
Jane   ;30;29;1.5;2;0;46;55;0;3;9;Yes;Yes;Games
Emma   ;30;15;2.5;10;11;27;17;0;3;1;No ;Yes;Games
James  ;30;0;4.6;7;4;20;68;3;1;7;No ;No ;Games
Olivia ;30;5;2.1;8;5;37;8;4;3;17;Yes;Yes;Games
Emma   ;30;30;2.1;0;20;16;3;4;4;16;No ;No ;Games
Sophia ;30;12;3.9;2;17;9;55;4;2;3;No ;No ;Books
Michael;30;14;2.1;4;18;31;96;3;4;9;Yes;No ;Books
James  ;30;10;3.1;1;14;12;13;1;3;14;Yes;No ;Books
James  ;30;12;2.6;1;4;12;53;1;1;17;Yes;Yes;Books
John   ;30;2;3.9;6;7;15;62;4;4;13;No ;No ;Books
James  ;30;27;3.2;10;12;30;93;6;2;7;No ;Yes;Books
Jane   ;31;27;4.7;10;17;13;12;5;3;3;No ;Yes;Books
John   ;31;23;1.3;8;19;28;50;0;3;10;No ;Yes;Games
Michael;31;10;3.5;6;13;46;95;9;3;9;No ;Yes;Games
Olivia ;31;9;2.7;10;19;0;84;2;0;5;Yes;Yes;Books
Michael;31;23;2.1;9;11;43;82;4;1;10;Yes;No ;Books
John   ;31;7;1.4;9;20;16;29;2;5;5;No ;Yes;Games
William;31;6;3.6;2;10;31;82;10;3;8;No ;Yes;Books
William;31;21;4.5;1;17;5;63;9;1;0;No ;Yes;Games
William;31;29;3;1;2;36;53;9;4;14;No ;No ;Books
James  ;31;12;2.4;5;15;30;45;1;1;16;Yes;Yes;Books
Sophia ;31;11;2.4;0;1;49;22;4;5;8;Yes;Yes;Games
Jane   ;31;0;1.3;9;8;2;89;4;3;8;Yes;No ;Books
John   ;31;11;3.9;10;16;3;49;5;1;20;No ;Yes;Books
Michael;31;20;4.5;2;2;21;30;9;0;11;No ;No ;Games
William;31;1;1.2;6;15;5;50;10;1;0;Yes;Yes;Games
James  ;31;7;4.9;9;14;19;82;9;4;5;Yes;Yes;Games
Olivia ;31;17;3.6;5;1;38;4;6;3;17;No ;No ;Books
James  ;31;26;1.8;1;8;11;88;3;0;18;Yes;No ;Games
Sophia ;31;5;4.2;3;10;44;82;1;3;13;Yes;No ;Books
Sophia ;31;22;2;5;18;29;74;3;1;4;No ;Yes;Books
Olivia ;31;11;1.3;9;1;42;23;1;4;12;No ;No ;Books
James  ;31;21;3.1;0;12;38;84;8;2;16;No ;Yes;Books
Olivia ;32;30;4.3;7;8;11;61;8;3;2;Yes;Yes;Games
Olivia ;32;29;4.7;0;13;16;27;6;0;16;No ;Yes;Games
Olivia ;32;0;3.7;9;4;6;86;0;1;3;No ;No ;Books
Olivia ;32;30;2.3;9;7;26;15;3;0;9;No ;No ;Books
Olivia ;32;10;1.5;9;13;22;62;6;0;19;Yes;Yes;Books
Olivia ;32;10;2.3;6;8;30;59;4;5;2;No ;Yes;Books
Olivia ;32;17;2.4;10;16;12;44;6;0;10;No ;Yes;Books
Sophia ;32;18;1.4;1;13;5;33;0;3;16;Yes;Yes;Books
Sophia ;32;2;2.9;1;2;20;38;1;4;0;No ;No ;Games
Jane   ;32;6;1.4;8;4;50;38;1;2;6;Yes;No ;Books
Olivia ;32;29;3.3;10;2;6;68;9;2;1;No ;Yes;Games
Sophia ;32;15;2.7;6;12;34;86;3;5;5;Yes;No ;Games
James  ;32;0;3.7;2;0;7;60;1;0;2;No ;Yes;Books
Olivia ;32;1;1.7;1;14;19;23;9;2;2;No ;No ;Games
Sophia ;32;0;3;9;7;6;32;7;2;5;No ;No ;Games
Michael;32;25;1.5;10;5;0;55;7;4;13;Yes;Yes;Books
Olivia ;32;15;2.2;7;20;23;4;7;1;14;No ;Yes;Games
Emma   ;32;15;2.2;7;13;48;37;5;0;20;No ;No ;Books
Michael;32;16;4.4;6;17;16;86;10;4;17;No ;No ;Games
Michael;32;16;3.7;9;6;37;24;8;5;1;No ;No ;Books
Emma   ;32;29;4.1;10;19;49;86;6;5;1;No ;Yes;Books
James  ;32;7;1.6;5;16;15;89;6;5;17;Yes;Yes;Games
Sophia ;32;7;1.3;8;3;21;9;3;1;12;No ;No ;Games
Emma   ;32;1;3.5;9;5;36;2;1;2;7;Yes;Yes;Games
Jane   ;32;12;3.9;4;0;0;67;1;2;6;No ;Yes;Games
James  ;32;20;2.4;6;0;35;10;6;5;15;Yes;Yes;Books
Michael;32;15;4.5;5;8;5;12;10;4;11;No ;Yes;Games
James  ;33;9;4.3;10;16;18;40;8;1;14;Yes;Yes;Books
William;33;8;2.7;5;2;45;31;8;2;15;No ;No ;Books
Jane   ;33;26;2.8;7;7;13;53;0;2;18;Yes;Yes;Games
Michael;33;0;4.5;0;10;4;43;4;4;19;No ;No ;Games
John   ;33;13;4.9;6;4;36;3;4;3;19;Yes;No ;Games
Michael;33;12;1.5;5;9;15;40;4;3;13;No ;Yes;Games
Emma   ;33;2;4;7;19;36;19;0;0;17;No ;No ;Books
William;33;16;2.4;0;16;40;92;1;2;16;Yes;Yes;Books
Sophia ;33;14;5;4;14;9;86;0;1;5;Yes;No ;Games
Emma   ;33;26;1.3;2;2;50;44;8;4;1;Yes;Yes;Games
John   ;33;19;5;10;0;13;0;4;2;17;Yes;No ;Games
Jane   ;33;20;4.7;1;6;5;25;4;5;20;No ;Yes;Books
William;33;18;1.1;2;5;44;63;0;2;15;No ;No ;Books
Emma   ;33;11;2.7;2;0;13;1;10;2;7;No ;Yes;Books
Emma   ;33;12;3.6;8;11;12;27;10;2;19;Yes;No ;Games
Olivia ;33;22;2.1;4;9;45;84;8;5;17;No ;Yes;Books
William;34;25;4.8;3;3;42;17;6;4;10;Yes;No ;Books
Jane   ;34;24;2.2;3;13;42;11;5;1;9;No ;No ;Books
William;34;8;3.9;1;6;49;73;4;3;10;Yes;Yes;Books
James  ;34;18;4.3;10;17;37;64;2;5;5;No ;No ;Games
Sophia ;34;21;4.7;1;10;43;70;4;0;3;Yes;No ;Games
James  ;34;29;2.5;4;17;21;42;4;4;15;Yes;Yes;Books
James  ;34;20;3.1;6;10;26;63;3;4;17;No ;No ;Books
John   ;34;24;4.2;10;8;20;47;10;5;19;No ;No ;Games
John   ;34;4;3.1;5;16;42;47;4;4;1;No ;Yes;Games
Jane   ;34;11;3.4;5;15;24;48;8;1;3;Yes;Yes;Games
